"Statistic Label","Census Year","Administrative Counties 2019","Age","Sex","UNIT","VALUE"
"Population","2022","Carlow County Council","Total","Both Sexes","Number","61968"
"Population","2022","Dublin City Council","Total","Both Sexes","Number","592713"
"Population","2022","Dún Laoghaire Rathdown County Council","Total","Both Sexes","Number","233860"
"Population","2022","Fingal County Council","Total","Both Sexes","Number","330506"
"Population","2022","South Dublin County Council","Total","Both Sexes","Number","301075"
"Population","2022","Kildare County Council","Total","Both Sexes","Number","247774"
"Population","2022","Kilkenny County Council","Total","Both Sexes","Number","104160"
"Population","2022","Laois County Council","Total","Both Sexes","Number","91877"
"Population","2022","Longford County Council","Total","Both Sexes","Number","46751"
"Population","2022","Louth County Council","Total","Both Sexes","Number","139703"
"Population","2022","Meath County Council","Total","Both Sexes","Number","220826"
"Population","2022","Offaly County Council","Total","Both Sexes","Number","83150"
"Population","2022","Westmeath County Council","Total","Both Sexes","Number","96221"
"Population","2022","Wexford County Council","Total","Both Sexes","Number","163919"
"Population","2022","Wicklow County Council","Total","Both Sexes","Number","155851"
"Population","2022","Clare County Council","Total","Both Sexes","Number","127938"
"Population","2022","Cork City Council","Total","Both Sexes","Number","224004"
"Population","2022","Cork County Council","Total","Both Sexes","Number","360152"
"Population","2022","Kerry County Council","Total","Both Sexes","Number","156458"
"Population","2022","Limerick City & County Council","Total","Both Sexes","Number","209536"
"Population","2022","Tipperary County Council","Total","Both Sexes","Number","167895"
"Population","2022","Waterford City & County Council","Total","Both Sexes","Number","127363"
"Population","2022","Galway City Council","Total","Both Sexes","Number","84414"
"Population","2022","Galway County Council","Total","Both Sexes","Number","193323"
"Population","2022","Leitrim County Council","Total","Both Sexes","Number","35199"
"Population","2022","Mayo  County Council","Total","Both Sexes","Number","137970"
"Population","2022","Roscommon County Council","Total","Both Sexes","Number","70259"
"Population","2022","Sligo County Council","Total","Both Sexes","Number","70198"
"Population","2022","Cavan County Council","Total","Both Sexes","Number","81704"
"Population","2022","Donegal County Council","Total","Both Sexes","Number","167084"
"Population","2022","Monaghan County Council","Total","Both Sexes","Number","65288"
"Population","2022","Ireland","Total","Both Sexes","Number","5149139"
